Rater1,Rater2,Rater3
NA,NA,NA
NA,NA,NA
clarify question/answer details,essential,essential
essential,essential,technical explanations and discussion
essential,essential,technical explanations and discussion
essential,essential,essential
technical explanations and discussion,essential,technical explanations and discussion
NA,NA,NA
essential,essential,essential
essential,essential,essential
NA,NA,NA
clarify question/answer details,technical explanations and discussion,other
NA,NA,NA
NA,NA,NA
essential,essential,essential
solution conditions - environment,solution conditions - environment,technical explanations and discussion
solution conditions - environment,technical explanations and discussion,essential
essential,technical explanations and discussion,essential
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
solution conditions - version,solution conditions - version,solution conditions - version
technical explanations and discussion,technical explanations and discussion,technical explanations and discussion
NA,NA,NA
NA,NA,NA
technical explanations and discussion,technical explanations and discussion,essential
solution conditions - environment,technical explanations and discussion,technical explanations and discussion
solution conditions - version,solution conditions - version,solution conditions - version
NA,NA,NA
NA,NA,NA
solution conditions - version,solution conditions - version,solution conditions - version
NA,NA,NA
essential,essential,essential
NA,NA,NA
essential,essential,technical explanations and discussion
essential,essential,essential
NA,NA,NA
essential,essential,essential
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
