Rater1,Rater2,Rater3,ResRater1,ResRater2,ResRater3
No,NA,No,No,NA,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
No,Yes,No,No,No,No
No,No,No,No,No,No
No,No,Yes,No,No,No
No,No,No,No,No,No
Yes,Yes,No,No,No,No
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,Yes,No,No,No,No
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
No,No,No,No,No,No
No,NA,No,NA,NA,NA
