QuestionID,AnswerID,AnswerVote,CommentID,CommentVote,ParagraphIndex,SentenceIndex,Sentence,QuestionContext,CandidateAdditionalContext,Q1Rater1,Q1Rater2,Q1Rater3,Q1Agreement,Q2Rater1,Q2Rater2,Q2Rater3,Q2Agreement,AdditionContext,VotedAdditionalContexts,TagCategory,Reason
11699407,11699582,7,,,1,3,Notepad + + has excellent encoding options for this .,"json ,module ,subclassing ,python ,standard library ,processing",notepad++,Yes,No,Yes,Yes,No,,No,No,Yes,Yes,tool/application,solution - other
11699407,11699582,7,,,5,0,PyScripter works for me .,"json ,module ,subclassing ,python ,standard library ,processing",pyscripter,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,ide,solution - own experience
11699407,11699582,7,,,5,1,"It 's included with "" Portable Python "" at http://portablepython.com/wiki/PortablePython3.2.1.1","json ,module ,subclassing ,python ,standard library ,processing",portable python,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,programming language,necessary technical explanation or resouce
11699407,11699582,7,,,15,0,testJSONWithUnicode.py ( Using PyScripter as the IDE ),"json ,module ,subclassing ,python ,standard library ,processing",pyscripter,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,ide,solution conditions - environment
11699407,,,15531083,0,0,0,"Actually json.dumps does come with a "" encoding "" parameter , which defaults to utf - 8 .","json ,module ,subclassing ,python ,standard library ,processing",defaults,Yes,Yes,Yes,No,No,No,No,,No,,,
68376233,68376372,1,,,0,0,I do n't think that it is possible to have some wrapper classes and expect Jackson to flatten and extract all of those fields from wrapper classes and map the flat JSON fields to them .,"jackson ,java ,jackson-databind ,json",expect,No,No,No,No,,,,,No,,,
25452449,25452580,0,,,1,0,though the issue is with having the email in the route - it has a period .,"javascript ,json ,.net ,c# ,email ,asp.net-web-api",period,No,No,No,No,,,,,No,,,
25452449,25452580,0,,,2,0,I would wager that when you try it with a bad email the bad string you 're trying with does n't have a period .,"javascript ,json ,.net ,c# ,email ,asp.net-web-api",period,No,No,No,No,,,,,No,,,
25452449,25452580,0,,,4,0,or change your route config to accept the period,"javascript ,json ,.net ,c# ,email ,asp.net-web-api",period,No,No,No,No,,,,,No,,,
25452449,25452580,0,,,5,0,or you can replace certain characters in the email client side and change them back server side ( worst case ),"javascript ,json ,.net ,c# ,email ,asp.net-web-api",client,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,computing concept,necessary technical explanation or resouce
