Rater1,Rater2,Rater3,ResRater1,ResRater2,ResRater3
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
No,No,Yes,No,No,No
NA,No,No,No,No,No
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,No,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
No,No,Yes,No,No,No
NA,NA,NA,NA,NA,NA
No,No,Yes,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
Yes,No,No,No,No,No
No,No,No,No,No,No
NA,No,NA,NA,NA,NA
No,Yes,NA,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
NA,NA,No,NA,NA,NA
No,No,No,No,No,No
Yes,No,No,No,No,No
NA,No,NA,NA,NA,NA
No,No,No,No,No,No
Yes,No,No,Yes,Yes,Yes
Yes,No,No,No,No,No
Yes,No,No,No,No,No
NA,No,NA,NA,NA,NA
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
Yes,Yes,No,Yes,Yes,Yes
Yes,No,No,No,No,No
No,No,Yes,No,No,No
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
No,No,Yes,No,No,No
No,No,Yes,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
No,No,Yes,No,No,No
No,No,Yes,No,No,No
Yes,Yes,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
No,No,Yes,No,No,No
NA,NA,NA,NA,NA,NA
No,No,Yes,No,No,No
No,No,Yes,NA,NA,NA
NA,No,No,NA,NA,NA
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
No,No,NA,No,No,No
No,No,No,No,No,No
No,No,Yes,No,No,No
NA,No,NA,NA,NA,NA
No,No,Yes,No,No,No
No,No,Yes,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
NA,Yes,NA,NA,NA,NA
Yes,Yes,Yes,Yes,Yes,Yes
No,No,Yes,No,No,No
NA,NA,No,NA,NA,NA
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
No,No,No,No,No,No
NA,NA,NA,NA,NA,NA
No,No,No,No,No,No
Yes,No,No,Yes,No,No
Yes,Yes,No,Yes,Yes,Yes
No,No,No,No,No,No
No,No,No,No,No,No
