Rater1,Rater2,Rater3
solution conditions - version,solution conditions - version,solution conditions - version
solution conditions - version,solution conditions - version,solution conditions - version
solution conditions - version,solution conditions - version,solution conditions - version
NA,NA,NA
solution conditions - version,solution conditions - version,solution conditions - version
solution conditions - version,solution conditions - version,solution conditions - version
solution conditions - version,solution conditions - version,solution conditions - version
solution conditions - version,solution conditions - version,solution conditions - version
NA,NA,NA
technical explanations and discussion,technical explanations and discussion,solution - suggest programming language
technical explanations and discussion,technical explanations and discussion,technical explanations and discussion
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
essential,technical explanations and discussion,clarify question/answer details
NA,NA,NA
technical explanations and discussion,technical explanations and discussion,technical explanations and discussion
technical explanations and discussion,technical explanations and discussion,technical explanations and discussion
technical explanations and discussion,solution - suggest API/library/framework,technical explanations and discussion
technical explanations and discussion,technical explanations and discussion,technical explanations and discussion
technical explanations and discussion,solution - suggest API/library/framework,technical explanations and discussion
solution - other,technical explanations and discussion,technical explanations and discussion
solution - suggest API/library/framework,technical explanations and discussion,essential
NA,NA,NA
solution conditions - environment,solution - own experience,solution - own experience
essential,technical explanations and discussion,essential
essential,technical explanations and discussion,essential
essential,technical explanations and discussion,essential
solution conditions - environment,technical explanations and discussion,technical explanations and discussion
NA,NA,NA
essential,technical explanations and discussion,essential
NA,NA,NA
technical explanations and discussion,technical explanations and discussion,clarify question/answer details
technical explanations and discussion,technical explanations and discussion,clarify question/answer details
NA,NA,NA
technical explanations and discussion,technical explanations and discussion,clarify question/answer details
NA,NA,NA
clarify question/answer details,technical explanations and discussion,other
technical explanations and discussion,external reference,other
NA,NA,NA
technical explanations and discussion,technical explanations and discussion,essential
,,
technical explanations and discussion,technical explanations and discussion,technical explanations and discussion
NA,NA,NA
solution - other,external reference,external reference
solution - suggest API/library/framework,solution - suggest API/library/framework,external reference
NA,NA,NA
NA,NA,NA
solution - suggest API/library/framework,solution - suggest API/library/framework,technical explanations and discussion
solution - suggest API/library/framework,solution - suggest API/library/framework,external reference
NA,NA,NA
NA,NA,NA
NA,NA,NA
technical explanations and discussion,technical explanations and discussion,essential
solution conditions - other,solution conditions - environment,technical explanations and discussion
solution conditions - other,solution conditions - environment,technical explanations and discussion
solution - other,solution - suggest API/library/framework,clarify question/answer details
technical explanations and discussion,solution conditions - programming language,essential
technical explanations and discussion,external reference,clarify question/answer details
NA,NA,NA
technical explanations and discussion,technical explanations and discussion,technical explanations and discussion
NA,NA,NA
technical explanations and discussion,technical explanations and discussion,technical explanations and discussion
NA,NA,NA
NA,NA,NA
NA,NA,NA
solution - suggest API/library/framework,solution - suggest API/library/framework,solution - suggest API/library/framework
NA,NA,NA
essential,clarify question/answer details,essential
technical explanations and discussion,technical explanations and discussion,technical explanations and discussion
technical explanations and discussion,solution conditions - environment,technical explanations and discussion
NA,NA,NA
solution - other,solution - own experience,essential
technical explanations and discussion,technical explanations and discussion,essential
essential,technical explanations and discussion,essential
essential,technical explanations and discussion,technical explanations and discussion
essential,technical explanations and discussion,technical explanations and discussion
solution - suggest API/library/framework,technical explanations and discussion,technical explanations and discussion
NA,NA,NA
NA,NA,NA
essential,clarify question/answer details,essential
NA,NA,NA
NA,NA,NA
technical explanations and discussion,technical explanations and discussion,essential
technical explanations and discussion,technical explanations and discussion,clarify question/answer details
technical explanations and discussion,technical explanations and discussion,clarify question/answer details
NA,NA,NA
essential,essential,essential
external reference,external reference,external reference
NA,NA,NA
technical explanations and discussion,external reference,other
